date,open,high,low,close,preclose,volume,amount,pctChg
2019-07-17,9274.691,9354.811,9242.253,9301.998,9283.408,23506770688,229356064768.0,0.2002
2019-07-18,9258.122,9258.122,9153.007,9154.65,9301.998,22242690560,213971132416.0,-1.584
2019-07-19,9198.816,9298.208,9198.816,9228.553,9154.65,20047433984,200890564608.0,0.8073
2019-07-22,9247.281,9254.648,9073.488,9122.636,9228.553,21854539520,209835618304.0,-1.1477
2019-07-23,9125.459,9175.832,9104.756,9175.832,9122.636,16811877632,175168282624.0,0.5831
2019-07-24,9203.228,9312.673,9203.228,9266.297,9175.832,21397804032,221447307264.0,0.9859
2019-07-25,9265.309,9344.817,9247.966,9344.817,9266.297,21285369088,224169693184.0,0.8474
2019-07-26,9310.646,9363.27,9294.605,9349.002,9344.817,18565447424,193088831488.0,0.0448
2019-07-29,9350.211,9376.424,9310.634,9354.276,9349.002,18659681536,196302606336.0,0.0564
2019-07-30,9362.23,9469.076,9362.23,9399.101,9354.276,20690014208,213376143360.0,0.4792
2019-07-31,9374.439,9374.439,9318.585,9326.614,9399.101,18530124032,193003937792.0,-0.7712
2019-08-01,9278.832,9327.938,9223.305,9268.053,9326.614,18913252608,202878636032.0,-0.6279
2019-08-02,9049.352,9150.73,9020.263,9136.46,9268.053,22855442432,238579937280.0,-1.4199
2019-08-05,9093.067,9168.104,8984.728,8984.728,9136.46,20385203200,219269009408.0,-1.6607
2019-08-06,8805.154,8898.384,8669.895,8859.47,8984.728,27430559232,268428439552.0,-1.3941
2019-08-07,8919.89,8933.99,8814.744,8814.744,8859.47,18908393216,199858782208.0,-0.5048
2019-08-08,8870.181,8936.484,8859.477,8919.276,8814.744,17679434496,189027176448.0,1.1859
2019-08-09,8963.472,8970.515,8780.716,8795.18,8919.276,19512148736,209545420800.0,-1.3913
2019-08-12,8816.886,8978.521,8798.495,8978.521,8795.18,18386735616,200207114240.0,2.0846
2019-08-13,8910.146,8960.02,8869.455,8902.632,8978.521,17058730752,185691557888.0,-0.8452
2019-08-14,9034.05,9060.398,8956.076,8966.469,8902.632,20750172416,228412239872.0,0.7171
2019-08-15,8779.533,9011.773,8758.044,9009.678,8966.469,21280748544,220269510656.0,0.4819
2019-08-16,9007.149,9136.214,8995.567,9060.917,9009.678,22069741568,244112625664.0,0.5687
2019-08-19,9165.801,9328.971,9141.891,9328.971,9060.917,30361783808,334507175936.0,2.9584
2019-08-20,9340.663,9389.393,9301.919,9328.729,9328.971,29373636096,313938182144.0,-0.0026
2019-08-21,9304.523,9361.741,9287.311,9322.754,9328.729,24920692224,271263756288.0,-0.064
2019-08-22,9350.645,9363.793,9282.76,9350.557,9322.754,25724616960,270500073472.0,0.2982
2019-08-23,9356.999,9397.758,9311.258,9362.548,9350.557,26206284288,277017190400.0,0.1282
2019-08-26,9181.71,9298.102,9173.014,9270.389,9362.548,25743306752,270062313472.0,-0.9843
2019-08-27,9333.104,9517.653,9333.104,9443.176,9270.389,31195990272,327274913792.0,1.8639
2019-08-28,9449.399,9453.755,9375.567,9414.002,9443.176,28583130624,291830939648.0,-0.3089
2019-08-29,9428.997,9440.665,9363.154,9398.47,9414.002,27253993472,281822855168.0,-0.165
2019-08-30,9458.386,9492.041,9310.112,9365.676,9398.47,31254696192,329958600704.0,-0.3489
2019-09-02,9393.026,9586.521,9389.48,9569.469,9365.676,30137534720,327223865344.0,2.176
2019-09-03,9591.424,9633.685,9547.764,9633.685,9569.469,31015542528,339339632640.0,0.671
2019-09-04,9612.624,9700.319,9590.977,9700.319,9633.685,33057709824,354615767040.0,0.6917
2019-09-05,9752.343,9900.759,9751.953,9783.504,9700.319,43076966912,457301204992.0,0.8575
2019-09-06,9829.966,9837.229,9742.274,9823.418,9783.504,33151590656,375675215872.0,0.408
2019-09-09,9907.131,10001.93,9853.687,10001.93,9823.418,38724724480,429811220480.0,1.8172
2019-09-10,10005.81,10005.81,9903.419,9964.926,10001.93,38205773568,420980543488.0,-0.37
2019-09-11,9985.114,10000.25,9835.972,9853.723,9964.926,35202107904,379451277312.0,-1.1159
2019-09-12,9886.248,9941.169,9837.273,9919.803,9853.723,28961981184,312756637696.0,0.6706
2019-09-16,9952.325,9962.153,9877.11,9918.092,9919.803,31843383040,343882457088.0,-0.0172
2019-09-17,9890.584,9890.584,9684.147,9722.797,9918.092,32855416576,348225085440.0,-1.9691
2019-09-18,9747.981,9785.617,9701.637,9753.311,9722.797,25662616320,287234777088.0,0.3138
2019-09-19,9786.398,9852.196,9733.966,9852.196,9753.311,26543730176,298283565056.0,1.0139
2019-09-20,9873.942,9903.687,9832.394,9881.249,9852.196,28135074816,328535564288.0,0.2949
2019-09-23,9853.472,9853.472,9703.662,9781.14,9881.249,27160360448,308900327424.0,-1.0131
2019-09-24,9783.389,9896.18,9761.033,9811.376,9781.14,28427543296,341848424448.0,0.3091
2019-09-25,9768.38,9768.38,9656.049,9671.057,9811.376,28555384576,322003980288.0,-1.4302
2019-09-26,9698.281,9707.922,9464.835,9464.835,9671.057,28872252672,321784954880.0,-2.1324
2019-09-27,9470.535,9574.502,9467.153,9548.96,9464.835,21553159680,244373921792.0,0.8888
2019-09-30,9544.016,9581.641,9446.042,9446.238,9548.96,18440306944,209912717312.0,-1.0757
2019-10-08,9474.571,9556.958,9468.743,9474.754,9446.238,18930144000,221075652608.0,0.3019
2019-10-09,9443.453,9507.04,9380.568,9506.561,9474.754,18904484608,214862512128.0,0.3357
2019-10-10,9504.033,9643.521,9480.174,9638.101,9506.561,22315856896,263424471040.0,1.3837
2019-10-11,9656.982,9704.676,9583.518,9666.582,9638.101,24430808576,273800810496.0,0.2955
2019-10-14,9753.582,9840.589,9725.677,9786.637,9666.582,28636699904,313886797824.0,1.242
2019-10-15,9759.953,9759.953,9658.511,9671.728,9786.637,26734917376,289634369536.0,-1.1741
2019-10-16,9678.311,9722.123,9635.447,9642.059,9671.728,23342984192,256663298048.0,-0.3068
2019-10-17,9657.091,9670.697,9617.005,9645.388,9642.059,20694003456,225165656064.0,0.0345
2019-10-18,9665.807,9706.377,9516.747,9533.505,9645.388,23825239552,253801611264.0,-1.16
2019-10-21,9533.092,9560.975,9476.454,9553.572,9533.505,21001461760,224399695872.0,0.2105
2019-10-22,9582.114,9642.934,9558.364,9642.088,9553.572,20760295424,226622238720.0,0.9265
2019-10-23,9641.885,9652.073,9547.504,9567.748,9642.088,21607008256,228670857216.0,-0.771
2019-10-24,9570.33,9598.33,9495.005,9555.761,9567.748,20748594944,218622648320.0,-0.1253
2019-10-25,9562.298,9665.599,9509.342,9660.44,9555.761,22531307264,245566083072.0,1.0955
2019-10-28,9721.641,9802.146,9704.532,9801.874,9660.44,29926808576,321505189888.0,1.464
2019-10-29,9812.481,9818.744,9746.031,9746.031,9801.874,32183085056,343693402112.0,-0.5697
2019-10-30,9707.175,9726.95,9647.004,9681.537,9746.031,27218448896,285824917504.0,-0.6617
2019-10-31,9709.1,9720.968,9626.933,9635.329,9681.537,24359262464,269331402752.0,-0.4773
2019-11-01,9621.892,9814.673,9604.308,9802.334,9635.329,22668390912,259274833920.0,1.733257
2019-11-04,9828.598,9908.199,9828.598,9868.133,9802.334,23955840512,280719917056.0,0.671258
