date,open,high,low,close,volume,amount,turn,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM
2013-01-16,7.72127125,7.76057954,7.49103698,7.59211544,90299892,1231280278.0,0.511147,-1.9579,6.858897,1.528244,2.626934,-88.479148
2013-01-17,7.59773091,7.60334638,7.40680493,7.42365134,117049830,1558604727.0,0.662566,-2.2189,6.706703,1.494333,2.568644,-86.515854
2013-01-18,7.50226792,7.5808845,7.41803587,7.50788339,110808831,1480397212.0,0.627239,1.1346,6.7828,1.511288,2.597789,-87.497501
2013-01-21,7.53596074,7.6931939,7.47419057,7.62019279,114885955,1552341580.0,0.650318,1.4959,6.884263,1.533896,2.636649,-88.806364
2013-01-22,7.62019279,7.91219723,7.51911433,7.861658,175753485,2425268563.0,0.994861,3.1688,7.102408,1.582501,2.720198,-91.62042
2013-01-23,7.8055033,7.92342817,7.72127125,7.861658,89490096,1246132644.0,0.506563,0.0,7.102408,1.582501,2.720198,-91.62042
2013-01-24,7.861658,8.1424315,7.60896185,7.67634749,196485221,2756417941.0,1.112214,-2.3571,6.934994,1.545199,2.656079,-89.460796
2013-01-25,7.71565578,7.76619501,7.53596074,7.56403809,90587116,1229494809.0,0.512773,-1.4631,6.833531,1.522592,2.617219,-88.151933
2013-01-28,7.5808845,8.05258398,7.5808845,7.96273646,151705864,2131062253.0,0.858738,5.271,7.193725,1.602847,2.755172,-92.798397
2013-01-29,7.96835193,8.3108956,7.88411988,8.1985862,190625562,2746660145.0,1.079045,2.9619,7.406797,1.650322,2.836778,-95.547009
2013-01-30,8.20420167,8.22104808,7.9739674,8.07504586,127814353,1836901396.0,0.723499,-1.5068,7.295188,1.625455,2.794032,-94.10726
2013-01-31,8.10312321,8.13681603,7.87850441,8.0301221,116264671,1653013127.0,0.658122,-0.5563,7.254603,1.616412,2.778488,-93.583715
2013-02-01,7.9739674,8.33335748,7.94589005,8.29966466,168931689,2451809625.0,0.956246,3.3566,7.498114,1.670669,2.871752,-96.724986
2013-02-04,8.29404919,8.42882047,8.11996962,8.18173979,165969012,2448320866.0,0.939476,-1.4208,7.391578,1.646931,2.830949,-95.35068
2013-02-05,8.0862768,8.16489338,7.97958287,8.0862768,121449786,1743222914.0,0.687472,-1.1668,7.305334,1.627715,2.797918,-94.238146
2013-02-06,8.0862768,8.15366244,7.93465911,8.06943039,93528960,1337984884.0,0.529425,-0.2083,7.290115,1.624324,2.792089,-94.041817
2013-02-07,8.06943039,8.06943039,7.69880937,7.94027458,162817793,2287383272.0,0.921638,-1.6006,7.173432,1.598326,2.7474,-92.536624
2013-02-08,7.90658176,7.96273646,7.78304142,7.88411988,93929728,1319909435.0,0.531694,-0.7072,7.122701,1.587022,2.72797,-91.882193
2013-02-18,7.93465911,8.01327569,7.78865689,7.83358065,86439411,1215568530.0,0.489295,-0.641,7.077042,1.576849,2.710483,-91.293204
2013-02-19,7.81673424,7.89535082,7.70442484,7.76619501,80257524,1115544740.0,0.454302,-0.8602,7.016165,1.563285,2.687167,-90.507886
2013-02-20,7.78304142,7.81111877,7.54157621,7.77181048,110823616,1509286637.0,0.627323,0.0723,7.021238,1.564415,2.68911,-90.573329
2013-02-21,7.67073202,7.68196296,7.27203365,7.51349886,130621607,1735828988.0,0.73939,-3.3237,6.787873,1.512419,2.599732,-87.562944
2013-02-22,7.49665245,7.51349886,7.300111,7.33941929,81360028,1071160054.0,0.460542,-2.3169,6.630605,1.477378,2.539499,-85.534206
2013-02-25,7.38434305,7.44611322,7.29449553,7.32257288,70980507,929263409.0,0.401789,-0.2295,6.615386,1.473987,2.53367,-85.337877
2013-02-26,7.23834083,7.45734416,7.10356955,7.13726237,225425396,2929255224.0,1.276032,-2.5307,6.447972,1.436685,2.469551,-83.178253
2013-02-27,7.16533972,7.300111,7.06426126,7.21026348,144114992,1843217552.0,0.81577,1.0228,6.513923,1.451379,2.49481,-84.029014
2013-02-28,7.2439563,7.47980604,7.17657066,7.4685751,169686196,2213328399.0,0.960517,3.5826,6.747288,1.503376,2.584188,-87.039399
2013-03-01,7.4685751,7.50788339,7.19341707,7.33941929,127952678,1676102123.0,0.724282,-1.7293,6.630605,1.477378,2.539499,-85.534206
2013-03-04,7.21587895,7.300111,6.83402699,6.89018169,174787313,2202216042.0,0.989392,-6.1209,5.847746,1.386949,2.335291,-80.298754
2013-03-05,6.92387451,7.56403809,6.92387451,7.50226792,217489127,2799557374.0,1.231108,8.8835,6.367228,1.510158,2.542746,-87.432058
2013-03-06,7.50788339,7.6370392,7.37872758,7.55280715,152953415,2050199178.0,0.8658,0.6737,6.410121,1.520331,2.559875,-88.021046
2013-03-07,7.50788339,7.50788339,7.29449553,7.36188117,88818956,1171202325.0,0.502764,-2.5279,6.24808,1.481899,2.495165,-85.795979
2013-03-08,7.38434305,7.56965356,7.26080271,7.48542151,92994368,1230262753.0,0.526399,1.6781,6.35293,1.506767,2.537036,-87.235728
2013-03-11,7.41803587,7.42926681,7.27764912,7.36749664,48343688,634664600.0,0.273652,-1.5754,6.252846,1.483029,2.497068,-85.861422
2013-03-12,7.36749664,7.4685751,7.15972425,7.2439563,69609902,906390226.0,0.39403,-1.6768,6.147997,1.458162,2.455196,-84.421673
2013-03-13,7.2439563,7.31695741,7.0754922,7.11480049,65982796,843335588.0,0.373499,-1.7829,6.038381,1.432163,2.411422,-82.91648
2013-03-14,7.09795408,7.23272536,7.04741485,7.11480049,47569824,603557988.0,0.269271,0.0,6.038381,1.432163,2.411422,-82.91648
2013-03-15,7.12041596,7.40680493,6.98564468,7.05864579,136157293,1735409883.0,0.770725,-0.7893,5.990722,1.42086,2.392389,-82.262048
2013-03-18,7.00810656,7.1316469,6.9631828,7.00810656,65953714,827700032.0,0.373334,-0.716,5.947829,1.410687,2.37526,-81.67306
2013-03-19,6.99126015,7.11480049,6.99126015,7.0754922,54739579,686425600.0,0.309856,0.9615,6.00502,1.424251,2.398099,-82.458378
2013-03-20,7.09233861,7.39557399,7.08110767,7.37872758,134323321,1745000320.0,0.760344,4.2857,6.262378,1.48529,2.500875,-85.992308
2013-03-21,7.37872758,7.42365134,7.33380382,7.37311211,64556357,848701312.0,0.365424,-0.0761,6.257612,1.48416,2.498971,-85.926865
2013-03-22,7.40680493,7.44049775,7.32818835,7.37311211,44108735,579895296.0,0.24968,0.0,6.257612,1.48416,2.498971,-85.926865
2013-03-25,7.4124204,7.45734416,7.26641818,7.28888006,55900140,730187072.0,0.316425,-1.1424,6.186124,1.467204,2.470422,-84.945218
2013-03-26,7.2439563,7.27203365,7.06426126,7.12603143,61902647,786734080.0,0.350403,-2.2342,6.047913,1.434424,2.415228,-83.047366
2013-03-27,7.10918502,7.25518724,7.10918502,7.17095519,45729310,584254912.0,0.258853,0.6304,6.08604,1.443467,2.430454,-83.570912
2013-03-28,6.9631828,6.9631828,6.5700999,6.81156511,126617155,1535552256.0,0.716723,-5.0117,5.781023,1.371124,2.308646,-79.38255
2013-03-29,6.84525793,7.15410878,6.80594964,7.09233861,102332903,1272875648.0,0.57926,4.122,6.019318,1.359612,2.403809,1.166059
2013-04-01,7.01372203,7.08110767,6.92948998,6.9631828,41277653,513973440.0,0.233654,-1.8211,5.909702,1.334853,2.360034,1.144824
2013-04-02,7.00810656,7.15972425,6.94633639,7.05303032,55765379,700652096.0,0.315663,1.2903,5.985956,1.352077,2.390486,1.159596
2013-04-03,7.0754922,7.28888006,7.06426126,7.18218613,63290889,808928704.0,0.358261,1.8312,6.095572,1.376836,2.434261,1.180831
2013-04-08,6.98564468,7.12603143,6.9631828,7.08110767,51753967,650242816.0,0.292956,-1.4074,6.009786,1.35746,2.400002,1.164212
2013-04-09,7.12603143,7.17657066,7.02495297,7.06987673,48341348,611102720.0,0.273639,-0.1586,6.000254,1.355307,2.396196,1.162366
2013-04-10,7.06426126,7.10356955,6.95195186,6.98564468,30295476,377830464.0,0.171489,-1.1914,5.928766,1.339159,2.367647,1.148517
2013-04-11,7.05303032,7.09795408,6.94072092,6.95756733,33431483,416800064.0,0.189241,-0.4019,5.904936,1.333777,2.358131,1.143901
2013-04-12,6.95756733,6.99687562,6.88456622,6.89579716,28710372,354460000.0,0.162516,-0.887818,5.852512,1.321935,2.337195,1.133745
2013-04-15,6.9070281,6.9631828,6.84525793,6.87895075,33325316,408924608.0,0.18864,-0.2443,5.838214,1.318706,2.331485,1.130975
2013-04-16,6.8508734,6.9631828,6.81718058,6.93510545,55597507,681018176.0,0.314712,0.81633,5.885873,1.329471,2.350518,1.140208
2013-04-17,6.92387451,6.93510545,6.7947187,6.82841152,43182874,525913408.0,0.244439,-1.5385,5.795321,1.309017,2.314356,1.122666
2013-04-18,6.76664135,6.9070281,6.74417947,6.82841152,57567757,697392896.0,0.325865,0.0,5.795321,1.309017,2.314356,1.122666
2013-04-19,6.85648887,7.21026348,6.82279605,7.08672314,159685249,1988992512.0,0.903906,3.782895,6.014552,1.358536,2.401905,1.165135
2013-04-22,7.03618391,7.09795408,7.03056844,7.06987673,59032937,742446976.0,0.334159,-0.2377,6.000254,1.355307,2.396196,1.162366
2013-04-23,7.10356955,7.10356955,6.76664135,6.81718058,85782677,1047585600.0,0.485577,-3.5743,5.785789,1.306864,2.310549,1.12082
2013-04-24,6.82279605,6.99126015,6.78348776,6.9070281,50028546,612410048.0,0.283189,1.318,5.862043,1.324088,2.341001,1.135592
2013-04-25,6.87333528,6.93510545,6.78348776,6.86210434,49654384,605731456.0,0.281071,-0.6504,5.823916,1.315476,2.325775,1.128206
2013-04-26,6.89579716,6.92948998,6.80033417,6.82279605,33018250,403023232.0,0.186901,-0.572837,5.790555,1.307941,2.312452,1.121743
2013-05-02,6.7947187,6.80594964,6.71048665,6.7947187,46973420,565173888.0,0.265895,-0.4115,5.596385,1.217727,2.253947,1.5009
2013-05-03,6.82841152,7.04741485,6.80594964,6.93510545,68956539,855915328.0,0.390332,2.066116,5.712013,1.242886,2.300516,1.53191
2013-05-06,6.9631828,7.10356955,6.95195186,7.03618391,50270560,630075264.0,0.284559,1.4575,5.795265,1.261001,2.334046,1.554237
2013-05-07,7.00249109,7.03618391,6.95195186,7.01372203,36789009,458536448.0,0.208246,-0.3192,5.776765,1.256976,2.326595,1.549276
2013-05-08,7.00810656,7.10356955,6.98564468,7.0193375,54553571,683945984.0,0.308803,0.0801,5.78139,1.257982,2.328458,1.550516
2013-05-09,7.04179938,7.06426126,6.87333528,6.92387451,44652235,553251648.0,0.252756,-1.36,5.702763,1.240874,2.296791,1.529429
2013-05-10,6.9631828,7.17657066,6.94633639,7.15972425,97604084,1232382720.0,0.552493,3.4063,5.897017,1.283142,2.375027,1.581526
2013-05-13,7.15410878,7.41803587,7.06987673,7.40680493,174515142,2271013376.0,0.987852,3.451,6.100522,1.327423,2.456989,1.636105
2013-05-14,7.40118946,7.50226792,7.3562657,7.48542151,152786050,2025053952.0,0.864853,1.0614,6.165274,1.341512,2.483068,1.65347
2013-05-15,7.47980604,7.66511655,7.44049775,7.63142373,109663142,1476330880.0,0.620754,1.9505,6.285527,1.367678,2.531499,1.685721
2013-05-16,7.60896185,7.82796518,7.53034527,7.78865689,151766853,2083974656.0,0.859084,2.0603,6.41503,1.395857,2.583657,1.720453
2013-05-17,7.78865689,7.82234971,7.64827014,7.78304142,101619270,1401815040.0,0.575221,-0.0721,6.410405,1.394851,2.581794,1.719212
2013-05-20,7.78304142,7.9178127,7.65950108,7.78304142,124578797,1728294016.0,0.705184,0.0,6.410405,1.394851,2.581794,1.719212
2013-05-21,7.7493486,7.75496407,7.55842262,7.62019279,106905782,1454002688.0,0.605145,-2.092352,6.276277,1.365665,2.527774,1.68324
2013-05-22,7.62580826,7.861658,7.62580826,7.85604253,140450104,1939563904.0,0.795025,3.0951,6.470531,1.407934,2.60601,1.735338
2013-05-23,7.8055033,7.83358065,7.58649997,7.59211544,104392717,1430513408.0,0.59092,-3.3595,6.253151,1.360634,2.51846,1.677038
2013-05-24,7.62019279,7.70442484,7.53596074,7.58649997,55498940,752285760.0,0.314154,-0.074,6.248526,1.359627,2.516597,1.675798
2013-05-27,7.56965356,7.62019279,7.47980604,7.51911433,49964608,671859968.0,0.282827,-0.8882,6.193025,1.347551,2.494244,1.660913
2013-05-28,7.49665245,7.7493486,7.47980604,7.72688672,85149220,1153115648.0,0.481991,2.7633,6.364154,1.384787,2.563166,1.706808
2013-05-29,7.74373313,7.79988783,7.62580826,7.64265467,59622733,819883072.0,0.337497,-1.0901,6.294777,1.369691,2.535225,1.688202
2013-05-30,7.62580826,7.68757843,7.55280715,7.62580826,46826224,635522368.0,0.265062,-0.2204,6.280902,1.366672,2.529637,1.684481
2013-05-31,7.63142373,7.76057954,7.59773091,7.62580826,45658535,624284288.0,0.258452,0.0,6.280902,1.366672,2.529637,1.684481
2013-06-03,7.62580826,7.79988783,7.62019279,7.73250219,70140471,965797120.0,0.397034,1.3991,6.368779,1.385793,2.565029,1.708048
2013-06-04,7.71565578,7.79988783,7.6370392,7.72127125,78089914,1073577728.0,0.442032,-0.1452,6.359529,1.38378,2.561304,1.705568
2013-06-05,7.72127125,7.72688672,7.40680493,7.50226792,61817060,832117504.0,0.349918,-2.8364,6.179149,1.344531,2.488656,1.657192
2013-06-06,7.49103698,7.51911433,7.30572647,7.40118946,67156041,881621888.0,0.38014,-1.3473,6.095897,1.326416,2.455126,1.634864
2013-06-07,7.40118946,7.49103698,7.3562657,7.39557399,68048619,898343488.0,0.385193,-0.0759,6.091272,1.32541,2.453263,1.633624
2013-06-13,7.3130116,7.3130116,6.97095138,7.26583088,81035312,978996608.0,0.458704,-1.7544,5.698138,1.239867,2.294928,1.528189
2013-06-14,7.22454775,7.2540357,7.14787908,7.20095739,58036665,708580352.0,0.328519,-0.8929,5.647261,1.228797,2.274438,1.514544
2013-06-17,7.21275257,7.26583088,7.13018631,7.1360839,31388706,382560896.0,0.177677,-0.9009,5.596385,1.217727,2.253947,1.5009
2013-06-18,7.15967426,7.25993329,7.15377667,7.1950598,34491029,422338624.0,0.195238,0.8264,5.642636,1.227791,2.272575,1.513304
2013-06-19,7.1950598,7.1950598,7.0181321,7.06531282,39840016,478168064.0,0.225516,-1.8033,5.540884,1.20565,2.231594,1.486015
2013-06-20,7.05351764,7.05351764,6.7232526,6.76453573,63295614,736010496.0,0.358288,-4.2571,5.305003,1.154324,2.136593,1.422754
2013-06-21,6.6642767,6.94146343,6.59350562,6.90607789,70320815,813131648.0,0.398054,2.0924,5.416006,1.178478,2.181299,1.452523
2013-06-24,6.85889717,6.85889717,6.34580684,6.44606587,118147118,1301685376.0,0.668778,-6.661,5.055247,1.09998,2.036004,1.355771
2013-06-25,6.3693972,6.50504177,5.89759,6.44016828,128040668,1368236800.0,0.72478,-0.0915,5.050622,1.098973,2.034141,1.354531
2013-06-26,6.50504177,6.51093936,6.21016227,6.28683094,93892918,1006917504.0,0.531485,-2.381,4.930369,1.072807,1.985709,1.32228
2013-06-27,6.33401166,6.47555382,6.30452371,6.44016828,72290048,783616960.0,0.409201,2.439,5.050622,1.098973,2.034141,1.354531
2013-06-28,6.44016828,6.86479476,6.39888515,6.8412044,116872092,1327338624.0,0.66156,6.2271,5.36513,1.167407,2.160809,1.438879
2013-07-01,6.7822285,6.84710199,6.6053008,6.71145742,48482145,551215424.0,0.274436,-1.8966,5.263377,1.145267,2.119828,1.41159
2013-07-02,6.71145742,6.75863814,6.49914418,6.61119839,63906564,714282176.0,0.361746,-1.4938,5.18475,1.128158,2.088161,1.390503
2013-07-03,6.59350562,6.75274055,6.46965623,6.69376465,60519634,675330176.0,0.342574,1.2489,5.249502,1.142248,2.11424,1.407869
2013-07-04,6.64068634,6.77633091,6.5463249,6.62889116,53058539,599276032.0,0.30034,-0.9692,5.198626,1.131178,2.093749,1.394224
2013-07-05,6.63478875,6.69376465,6.56401767,6.64658393,37591500,423780608.0,0.212789,0.2669,5.212501,1.134197,2.099338,1.397945
2013-07-08,6.57581285,6.61709598,6.47555382,6.50504177,46495080,514504512.0,0.263188,-2.1295,5.101498,1.110043,2.054631,1.368175
2013-07-09,6.49914418,6.63478875,6.47555382,6.58171044,49418897,548827328.0,0.279738,1.1786,5.161625,1.123127,2.078847,1.384301
2013-07-10,6.6053008,6.69376465,6.52273454,6.67607188,41429765,463874304.0,0.234515,1.4337,5.235627,1.139229,2.108652,1.404147
2013-07-11,6.69376465,7.33070437,6.69376465,7.16557185,160521711,1916691200.0,0.908641,7.3322,5.619511,1.222759,2.263261,1.507102
2013-07-12,7.077108,7.14198149,6.7822285,6.85299958,90111931,1063540480.0,0.510083,-4.3621,5.37438,1.16942,2.164534,1.44136
2013-07-15,6.92377066,7.02402969,6.81171645,6.87069235,67469648,789286784.0,0.381915,0.2582,5.388255,1.172439,2.170123,1.445081
2013-07-16,6.86479476,6.86479476,6.72915019,6.85889717,61861194,712310016.0,0.350168,-0.1717,5.379005,1.170427,2.166397,1.4426
2013-07-17,6.8412044,6.87069235,6.71145742,6.7232526,52624793,605064960.0,0.297885,-1.9776,5.272627,1.14728,2.123554,1.414071
2013-07-18,6.69966224,6.7822285,6.55222249,6.59350562,53560319,599859968.0,0.303181,-1.9298,5.170875,1.125139,2.082573,1.386782
2013-07-19,6.6053008,6.65248152,6.41657792,6.44016828,55832848,617765440.0,0.316045,-2.3256,5.050622,1.098973,2.034141,1.354531
2013-07-22,6.3104213,6.42247551,6.23375263,6.39888515,56804354,610322304.0,0.321544,-0.641,5.018246,1.091929,2.021101,1.345848
2013-07-23,6.44016828,6.65837911,6.37529479,6.52273454,55201375,613854016.0,0.31247,1.9355,5.115374,1.113063,2.06022,1.371897
2013-07-24,6.39888515,6.51093936,6.29862612,6.4283731,64957735,703058432.0,0.367696,-1.4467,5.041372,1.09696,2.030415,1.35205
2013-07-25,6.45196346,6.52273454,6.33990925,6.38708997,41472019,450454016.0,0.234754,-0.6422,5.008996,1.089916,2.017376,1.343367
2013-07-26,6.3693972,6.3693972,6.28093335,6.33401166,30576489,328006272.0,0.17308,-0.831,4.96737,1.080858,2.000611,1.332203
2013-07-29,6.2514454,6.25734299,6.1334936,6.18657191,46625262,488458880.0,0.263925,-2.3277,4.851742,1.055699,1.954042,1.301193
2013-07-30,6.23965022,6.36349961,6.20426468,6.29862612,49021261,521396800.0,0.277487,1.8112,4.939619,1.07482,1.989434,1.324761
2013-07-31,6.3693972,6.45786105,6.23375263,6.2514454,33973038,363813568.0,0.192306,-0.7491,4.902618,1.066769,1.974532,1.314838
2013-08-01,6.30452371,6.4283731,6.26913817,6.41068033,47089860,508365120.0,0.266554,2.5472,5.027496,1.093941,2.024827,1.348329
